ModelWeb Browser Results

nrlmsise model listing
Required input parameters
Year= 2000, Month=  1, Day=  1, Hour= 1.50,
Time_type = Universal
Coordinate_type = Geographic
Latitude=   55.00, Longitude=   45.00, Height=   100.00
Prof. parameters: Start=     0.00 Stop=  1000.00 Step=     1.00

Optional input parameters:

Sunspot number(Rz12) =not specified
Ionospheric index(IG12) =not specified
Upper limit for Electron content = not specified
F peak model =  
Ne Topside =  
foF2 Storm model =  
Bottomside Thickness =  
F1 occurrence probability =  
D-Region Ne =  
Topside Te =  
Ion Composition =  

Selected output parameters:
1  Height, km
2  Mass_density, g/cm-3
  151.0 1.738E-12  706.3   891
  152.0 1.656E-12  712.0   891
  153.0 1.578E-12  717.5   891
  154.0 1.506E-12  722.9   891
  155.0 1.438E-12  728.0   891
  156.0 1.374E-12  733.1   891
  157.0 1.313E-12  737.9   891
  158.0 1.256E-12  742.6   891
  159.0 1.202E-12  747.2   891
  160.0 1.151E-12  751.6   891
  161.0 1.102E-12  755.9   891
  162.0 1.056E-12  760.0   891
  163.0 1.013E-12  764.0   891
  164.0 9.722E-13  767.9   891
  165.0 9.333E-13  771.7   891
  166.0 8.963E-13  775.4   891
  167.0 8.612E-13  778.9   891
  168.0 8.277E-13  782.4   891
  169.0 7.959E-13  785.7   891
  170.0 7.656E-13  788.9   891
  171.0 7.368E-13  792.1   891
  172.0 7.092E-13  795.1   891
  173.0 6.829E-13  798.0   891
  174.0 6.579E-13  800.9   891
  175.0 6.339E-13  803.6   891
  176.0 6.110E-13  806.3   891
  177.0 5.892E-13  808.9   891
  178.0 5.682E-13  811.4   891
  179.0 5.482E-13  813.9   891
  180.0 5.290E-13  816.2   891
  181.0 5.106E-13  818.5   891
  182.0 4.930E-13  820.7   891
  183.0 4.762E-13  822.9   891
  184.0 4.600E-13  825.0   891
  185.0 4.445E-13  827.0   891
  186.0 4.296E-13  828.9   891
  187.0 4.153E-13  830.8   891
  188.0 4.015E-13  832.7   891
  189.0 3.883E-13  834.5   891
  190.0 3.757E-13  836.2   891
  191.0 3.635E-13  837.9   891
  192.0 3.517E-13  839.5   891
  193.0 3.405E-13  841.1   891
  194.0 3.296E-13  842.6   891
  195.0 3.192E-13  844.1   891
  196.0 3.091E-13  845.5   891
  197.0 2.994E-13  846.9   891
  198.0 2.901E-13  848.2   891
  199.0 2.811E-13  849.5   891
  200.0 2.724E-13  850.8   891
  201.0 2.641E-13  852.0   891
  202.0 2.560E-13  853.2   891
  203.0 2.482E-13  854.4   891
  204.0 2.407E-13  855.5   891
  205.0 2.335E-13  856.6   891
  206.0 2.265E-13  857.6   891
  207.0 2.198E-13  858.7   891
  208.0 2.133E-13  859.6   891
  209.0 2.070E-13  860.6   891
  210.0 2.009E-13  861.5   891
  211.0 1.950E-13  862.4   891
  212.0 1.893E-13  863.3   891
  213.0 1.839E-13  864.2   891
  214.0 1.786E-13  865.0   891
  215.0 1.734E-13  865.8   891
  216.0 1.685E-13  866.5   891
  217.0 1.637E-13  867.3   891
  218.0 1.590E-13  868.0   891
  219.0 1.545E-13  868.7   891
  220.0 1.502E-13  869.4   891
  221.0 1.460E-13  870.1   891
  222.0 1.419E-13  870.7   891
  223.0 1.380E-13  871.3   891
  224.0 1.342E-13  871.9   891
  225.0 1.305E-13  872.5   891
  226.0 1.269E-13  873.1   891
  227.0 1.234E-13  873.6   891
  228.0 1.200E-13  874.2   891
  229.0 1.168E-13  874.7   891
  230.0 1.136E-13  875.2   891
  231.0 1.105E-13  875.7   891
  232.0 1.076E-13  876.1   891
  233.0 1.047E-13  876.6   891
  234.0 1.019E-13  877.0   891
  235.0 9.919E-14  877.5   891
  236.0 9.657E-14  877.9   891
  237.0 9.402E-14  878.3   891
  238.0 9.154E-14  878.7   891
  239.0 8.914E-14  879.1   891
  240.0 8.681E-14  879.4   891
  241.0 8.455E-14  879.8   891
  242.0 8.235E-14  880.1   891
  243.0 8.022E-14  880.5   891
  244.0 7.815E-14  880.8   891
  245.0 7.614E-14  881.1   891
  246.0 7.419E-14  881.4   891
  247.0 7.229E-14  881.7   891
  248.0 7.045E-14  882.0   891
  249.0 6.866E-14  882.3   891
  250.0 6.692E-14  882.6   891
  251.0 6.523E-14  882.8   891
  252.0 6.359E-14  883.1   891
  253.0 6.200E-14  883.3   891
  254.0 6.044E-14  883.6   891
  255.0 5.894E-14  883.8   891
  256.0 5.747E-14  884.0   891
  257.0 5.605E-14  884.2   891
  258.0 5.466E-14  884.5   891
  259.0 5.331E-14  884.7   891
  260.0 5.200E-14  884.9   891
  261.0 5.073E-14  885.1   891
  262.0 4.949E-14  885.2   891
  263.0 4.828E-14  885.4   891
  264.0 4.710E-14  885.6   891
  265.0 4.596E-14  885.8   891
  266.0 4.485E-14  885.9   891
  267.0 4.377E-14  886.1   891
  268.0 4.272E-14  886.3   891
  269.0 4.169E-14  886.4   891
  270.0 4.069E-14  886.6   891
  271.0 3.972E-14  886.7   891
  272.0 3.878E-14  886.8   891
  273.0 3.786E-14  887.0   891
  274.0 3.696E-14  887.1   891
  275.0 3.609E-14  887.2   891
  276.0 3.524E-14  887.4   891
  277.0 3.441E-14  887.5   891
  278.0 3.360E-14  887.6   891
  279.0 3.282E-14  887.7   891
  280.0 3.205E-14  887.8   891
  281.0 3.130E-14  887.9   891
  282.0 3.058E-14  888.0   891
  283.0 2.987E-14  888.1   891
  284.0 2.918E-14  888.2   891
  285.0 2.851E-14  888.3   891
  286.0 2.785E-14  888.4   891
  287.0 2.721E-14  888.5   891
  288.0 2.659E-14  888.6   891
  289.0 2.598E-14  888.7   891
  290.0 2.539E-14  888.7   891
  291.0 2.481E-14  888.8   891
  292.0 2.425E-14  888.9   891
  293.0 2.370E-14  889.0   891
  294.0 2.317E-14  889.0   891
  295.0 2.264E-14  889.1   891
  296.0 2.214E-14  889.2   891
  297.0 2.164E-14  889.2   891
  298.0 2.116E-14  889.3   891
  299.0 2.068E-14  889.4   891
  300.0 2.022E-14  889.4   891
  301.0 1.977E-14  889.5   891
  302.0 1.933E-14  889.5   891
  303.0 1.890E-14  889.6   891
  304.0 1.849E-14  889.6   891
  305.0 1.808E-14  889.7   891
  306.0 1.768E-14  889.7   891
  307.0 1.729E-14  889.8   891
  308.0 1.691E-14  889.8   891
  309.0 1.654E-14  889.9   891
  310.0 1.618E-14  889.9   891
  311.0 1.583E-14  890.0   891
  312.0 1.549E-14  890.0   891
  313.0 1.515E-14  890.0   891
  314.0 1.482E-14  890.1   891
  315.0 1.450E-14  890.1   891
  316.0 1.419E-14  890.2   891
  317.0 1.388E-14  890.2   891
  318.0 1.358E-14  890.2   891
  319.0 1.329E-14  890.3   891
  320.0 1.301E-14  890.3   891
  321.0 1.273E-14  890.3   891
  322.0 1.246E-14  890.4   891
  323.0 1.219E-14  890.4   891
  324.0 1.193E-14  890.4   891
  325.0 1.168E-14  890.4   891
  326.0 1.143E-14  890.5   891
  327.0 1.119E-14  890.5   891
  328.0 1.095E-14  890.5   891
  329.0 1.072E-14  890.6   891
  330.0 1.050E-14  890.6   891
  331.0 1.028E-14  890.6   891
  332.0 1.006E-14  890.6   891
  333.0 9.851E-15  890.6   891
  334.0 9.645E-15  890.7   891
  335.0 9.444E-15  890.7   891
  336.0 9.247E-15  890.7   891
  337.0 9.055E-15  890.7   891
  338.0 8.867E-15  890.7   891
  339.0 8.683E-15  890.8   891
  340.0 8.503E-15  890.8   891
  341.0 8.328E-15  890.8   891
  342.0 8.156E-15  890.8   891
  343.0 7.988E-15  890.8   891
  344.0 7.824E-15  890.9   891
  345.0 7.663E-15  890.9   891
  346.0 7.506E-15  890.9   891
  347.0 7.352E-15  890.9   891
  348.0 7.202E-15  890.9   891
  349.0 7.055E-15  890.9   891
  350.0 6.911E-15  890.9   891
  351.0 6.771E-15  890.9   891
  352.0 6.633E-15  891.0   891
  353.0 6.498E-15  891.0   891
  354.0 6.367E-15  891.0   891
  355.0 6.238E-15  891.0   891
  356.0 6.112E-15  891.0   891
  357.0 5.989E-15  891.0   891
  358.0 5.868E-15  891.0   891
  359.0 5.750E-15  891.0   891
  360.0 5.635E-15  891.1   891
  361.0 5.522E-15  891.1   891
  362.0 5.411E-15  891.1   891
  363.0 5.303E-15  891.1   891
